GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
File Analyzer,com.soebes.ip,IPv6Address,18,355,3,35,4,56,7,29,4,13
File Analyzer,com.soebes.ip,IPv4Address,16,130,2,16,2,26,3,14,1,7
